capitalLabel,coordinate,capitalID,population
Amsterdam,Point(4.883333333 52.366666666),https://paris-saclay.fr/project/wod/capital/727,921468.0
Andorra la Vella,Point(1.5 42.5),https://paris-saclay.fr/project/wod/capital/1863,
Athens,Point(23.728055555 37.984166666),https://paris-saclay.fr/project/wod/capital/1524,
Berlin,Point(13.383333333 52.516666666),https://paris-saclay.fr/project/wod/capital/64,
Bern,Point(7.44743 46.94798),https://paris-saclay.fr/project/wod/capital/70,
Bratislava,Point(17.112777777 48.144722222),https://paris-saclay.fr/project/wod/capital/1780,
Bucharest,Point(26.097777777 44.413361111),https://paris-saclay.fr/project/wod/capital/19660,
Budapest,Point(19.040833333 47.498333333),https://paris-saclay.fr/project/wod/capital/1781,
City of Brussels,Point(4.351666666 50.846666666),https://paris-saclay.fr/project/wod/capital/239,
Copenhagen,Point(12.568888888 55.676111111),https://paris-saclay.fr/project/wod/capital/1748,644431.0
Dublin,Point(-6.260277777 53.349722222),https://paris-saclay.fr/project/wod/capital/1761,
Helsinki,Point(24.9375 60.170833333),https://paris-saclay.fr/project/wod/capital/1757,
Lisbon,Point(-9.139016 38.708042),https://paris-saclay.fr/project/wod/capital/597,
Ljubljana,Point(14.506111111 46.051388888),https://paris-saclay.fr/project/wod/capital/437,
London,Point(-0.1275 51.507222222),https://paris-saclay.fr/project/wod/capital/84,
Luxembourg,Point(6.132777777 49.610555555),https://paris-saclay.fr/project/wod/capital/1842,
Madrid,Point(-3.703333333 40.416944444),https://paris-saclay.fr/project/wod/capital/2807,
Minsk,Point(27.561837 53.902246),https://paris-saclay.fr/project/wod/capital/2280,
Moscow,Point(37.6175 55.750555555),https://paris-saclay.fr/project/wod/capital/649,
Nicosia,Point(33.365 35.1725),https://paris-saclay.fr/project/wod/capital/3856,
Oslo,Point(10.738888888 59.913333333),https://paris-saclay.fr/project/wod/capital/585,709037.0
Paris,Point(2.352222222 48.856666666),https://paris-saclay.fr/project/wod/capital/90,
Podgorica,Point(19.262777777 42.441388888),https://paris-saclay.fr/project/wod/capital/23564,
Prague,Point(14.421388888 50.0875),https://paris-saclay.fr/project/wod/capital/1085,
Pristina,Point(21.166666666 42.666666666),https://paris-saclay.fr/project/wod/capital/25270,
Reykjavík,Point(-21.935 64.1475),https://paris-saclay.fr/project/wod/capital/1764,
Riga,Point(24.106944444 56.9475),https://paris-saclay.fr/project/wod/capital/1773,
Rome,Point(12.482777777 41.893055555),https://paris-saclay.fr/project/wod/capital/220,
Sarajevo,Point(18.413055555 43.856388888),https://paris-saclay.fr/project/wod/capital/11194,
Skopje,Point(21.431666666 41.996111111),https://paris-saclay.fr/project/wod/capital/384,
Sofia,Point(23.321726 42.697886),https://paris-saclay.fr/project/wod/capital/472,
Stockholm,Point(18.068611111 59.329444444),https://paris-saclay.fr/project/wod/capital/1754,984748.0
Tallinn,Point(24.745 59.437222222),https://paris-saclay.fr/project/wod/capital/1770,
Tirana,Point(19.817777777 41.328888888),https://paris-saclay.fr/project/wod/capital/19689,
Vaduz,Point(9.521944444 47.139722222),https://paris-saclay.fr/project/wod/capital/1844,
Valletta,Point(14.5125 35.897777777),https://paris-saclay.fr/project/wod/capital/23800,
Vilnius,Point(25.28 54.687222222),https://paris-saclay.fr/project/wod/capital/216,581475.0
Warsaw,Point(21.011111111 52.23),https://paris-saclay.fr/project/wod/capital/270,
Zagreb,Point(15.977222222 45.813055555),https://paris-saclay.fr/project/wod/capital/1435,
