capitalLabel,countryLabel,coordinate,capitalID
Amsterdam,Kingdom of the Netherlands,Point(4.883333333 52.366666666),727
Andorra la Vella,Andorra,Point(1.5 42.5),1863
Athens,Greece,Point(23.728055555 37.984166666),1524
Berlin,Germany,Point(13.383333333 52.516666666),64
Bern,Switzerland,Point(7.44743 46.94798),70
Bratislava,Slovakia,Point(17.112777777 48.144722222),1780
Bucharest,Romania,Point(26.097777777 44.413361111),19660
Budapest,Hungary,Point(19.040833333 47.498333333),1781
City of Brussels,Belgium,Point(4.351666666 50.846666666),239
Copenhagen,Denmark,Point(12.568888888 55.676111111),1748
Dublin,Ireland,Point(-6.260277777 53.349722222),1761
Helsinki,Finland,Point(24.9375 60.170833333),1757
Lisbon,Portugal,Point(-9.139016 38.708042),597
Ljubljana,Slovenia,Point(14.506111111 46.051388888),437
London,United Kingdom,Point(-0.1275 51.507222222),84
Luxembourg,Luxembourg,Point(6.132777777 49.610555555),1842
Madrid,Spain,Point(-3.703333333 40.416944444),2807
Minsk,Belarus,Point(27.561837 53.902246),2280
Moscow,Russia,Point(37.6175 55.750555555),649
Nicosia,Cyprus,Point(33.365 35.1725),3856
Oslo,Norway,Point(10.738888888 59.913333333),585
Paris,France,Point(2.352222222 48.856666666),90
Podgorica,Montenegro,Point(19.262777777 42.441388888),23564
Prague,Czech Republic,Point(14.421388888 50.0875),1085
Pristina,Kosovo,Point(21.166666666 42.666666666),25270
Reykjavík,Iceland,Point(-21.935 64.1475),1764
Riga,Latvia,Point(24.106944444 56.9475),1773
Rome,Italy,Point(12.482777777 41.893055555),220
Sarajevo,Bosnia and Herzegovina,Point(18.413055555 43.856388888),11194
Skopje,North Macedonia,Point(21.431666666 41.996111111),384
Sofia,Bulgaria,Point(23.321726 42.697886),472
Stockholm,Sweden,Point(18.068611111 59.329444444),1754
Tallinn,Estonia,Point(24.745 59.437222222),1770
Tirana,Albania,Point(19.817777777 41.328888888),19689
Vaduz,Liechtenstein,Point(9.521944444 47.139722222),1844
Valletta,Malta,Point(14.5125 35.897777777),23800
Vilnius,Lithuania,Point(25.28 54.687222222),216
Warsaw,Poland,Point(21.011111111 52.23),270
Zagreb,Croatia,Point(15.977222222 45.813055555),1435
