siteLabel,coordinate,siteID
Q111922007,Point(-47.905209 -15.813693),111922007
Q115675185,Point(13.065644 52.410701),115675185
Q115726238,Point(13.1317849 52.439205),115726238
Q116089756,Point(-47.906157141 -15.814425036),116089756
Q118291797,Point(12.4213 51.849),118291797
Q123688375,Point(13.13453 52.433192),123688375
Q124041503,Point(12.196079379 51.848816271),124041503
Q124052132,Point(12.403946668 51.801537002),124052132
Q124054515,Point(12.40223 51.801522),124054515
Q131436506,Point(47.838333333 -19.008333333),131436506
Q1698443,Point(144.33172222 -5.78371111),1698443
Q97626839,Point(-47.904871 -15.812742),97626839
Q97974477,Point(34.859589211 31.883756617),97974477
'The Ghosts',Point(3.40909 49.2142),3232521
'Uruq Bani Ma'arid,Point(45.903888888 19.336944444),21994709
"18th-Century Royal Palace at Caserta with the Park, the Aqueduct of Vanvitelli, and the San Leucio Complex",Point(14.32639 41.07333),16962666
28th Brigade - La Ferme des Wacques National Cemetery,Point(4.510313 49.18264),21570189
29th Division Memorial,Point(2.648119738 50.072950076),122784272
A-Ma Temple,Point(113.531139 22.186111),2149114
Aachen Cathedral,Point(6.083922222 50.77475),5908
Aachen Cathedral Treasury,Point(6.082816666 50.775036111),15106167
Aachen Chapel of Hungary,Point(6.083922222 50.77475),784656
Aapravasi Ghat,Point(57.503056 -20.158611),9276
Aasivissuit–Nipisat,Point(-51.433205555 67.063930555),16324987
Abbey Church of Saint-Savin-sur-Gartempe,Point(0.86597 46.56477),1774129
Abbey and Altenmünster of Lorsch,Point(8.56858 49.65369),157550
Abbey and Altenmünster of Lorsch,Point(8.568888888 49.653888888),157550
Abbey of Fontenay,Point(4.389327 47.639661),464918
Abbey of Reichenau,Point(9.062080555 47.698738888),679114
Abbey of Saint Gall,Point(9.377222222 47.423055555),155699
Abbey of Saint-Remi,Point(4.0413 49.2434),27969085
Abu Mena,Point(29.66349 30.84105),9278
Acacus Mountains,Point(10.333319444 24.833429166),308807
Acre,Point(35.083888888 32.926111111),126084
Acropolis of Athens,Point(23.726111111 37.971666666),131013
Adur Gushnasp,Point(47.234722222 36.605166666),6419581
Aeolian Islands,Point(14.9359 38.4966),179883
Aflaj Irrigation System of Oman,Point(57.536056 22.998889),25495
Agave Landscape and Ancient Industrial Facilities of Tequila,Point(-103.769989 20.628286),2104675
Agra Fort,Point(78.021297222 27.179583333),171857
Agramonte Park (Camaguey),Point(-77.918394229 21.379045182),110943876
Ahwar of Southern Iraq,Point(47.657778 31.562222),25933006
Aigai,Point(22.3227596 40.4779658),16963755
Aisne-Marne American Cemetery and Memorial,Point(3.291433333 49.07945),2972492
Ajanta Caves,Point(75.70047222 20.55341667),184427
Al Maghtas,Point(35.550277777 31.837222222),12193567
Al-Ahsa Oasis,Point(49.621944 25.429444),311341
Al-Aqsa,Point(35.236 31.778),121610806
Al-Aqsa Mosque,Point(35.235833333 31.776111111),12192963
"Al-Balad, Jeddah",Point(39.2 21.4833),4702264
Alcobaça Monastery,Point(-8.98 39.548333333),593147
Alcázar of Segovia,Point(-4.1325 40.9525),557337
Aldabra,Point(46.416388888 -9.416388888),272768
Alexander von Humboldt National Park,Point(-74.9 20.45805556),48153
"Alhambra, Generalife and Albayzín, Granada",Point(-3.594444444 37.176666666),9603543
Aljafería,Point(-0.89708 41.65649),1354033
Alminhas da Ponte,Point(-8.61085556 41.14074722),665878
Altes Museum,Point(13.398888888 52.519444444),156722
Alto Douro Wine Region,Point(-7.534121036 41.199886322),649738
Amalfi Coast,Point(14.6 40.633333333),212214
"Amami-Ōshima Island, Tokunoshima Island, northern part of Okinawa Island, and Iriomote Island",Point(129.378333333 28.279166666),11444847
Ambohimanga,Point(47.562778 -18.759167),458167
Ancient Building Complex in the Wudang Mountains,Point(111.0 32.46667),11124244
Ancient Building Complex in the Wudang Mountains,Point(111.10666656 32.50166702),11124244
Ancient City of Aleppo,Point(37.15 36.18333333),4115349
Ancient City of Bosra,Point(36.48166667 32.51805556),15727412
Ancient City of Damascus,Point(36.30639 33.51111222),3678596
Ancient City of Nessebar,Point(27.73 42.65611),64617320
Ancient City of Ping Yao,Point(112.1544 37.2014),65965285
Ancient City of Tauric Chersonese and its Chora,Point(33.49139 44.61083),64532917
"Ancient Ksour of Ouadane, Chinguetti, Tichitt and Oualata",Point(-11.62361 20.92889),2845953
Ancient Villages in Southern Anhui - Xidi and Hongcun,Point(117.9875 29.90444444),15224718
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Point(15.0 49.0),156011
Ancient ferrous metallurgy sites of Burkina Faso,Point(-3.329 12.5878),65685157
Andrássy út,Point(19.0713 47.51056),367395
Angkor,Point(103.859081 13.440881),2397751
Ani,Point(43.572777777 40.5075),546010
Anjar,Point(35.929722222 33.725833333),60977
Antequera Dolmens Site,Point(-4.548055555 37.023333333),97633694
Anticosti,Point(-63.245277777 49.538611111),122707293
Antigua Guatemala,Point(-90.73381 14.556504),65130425
Antigua Naval Dockyard and Related Archaeological Sites,Point(-61.76007 17.00455),124402010
Antonine Wall,Point(-4.067 55.967),210957
Anuradhapura,Point(80.410833333 8.335),5724
